id,player_a,player_b,starting_pos,result,time_control
142,Conqueror,Lumberjack,341251,false,1+0
143,Conqueror,Lumberjack,1171,false,1+0
144,Hero,Lumberjack,86134,true,1+0
145,Hero,Lumberjack,318262,true,1+0
146,Lumberjack,Hero,86134,true,1+0
147,Lumberjack,Hero,318262,true,1+0
148,Hero,Conqueror,86134,true,1+0
149,Hero,Conqueror,318262,true,1+0
150,Conqueror,Hero,86134,true,1+0
151,Conqueror,Hero,318262,true,1+0
152,Lumberjack,Conqueror,86134,false,1+0
153,Hero,Lumberjack,145668,false,3+0
154,Hero,Lumberjack,27108,true,3+0
155,Lumberjack,Hero,145668,false,3+0
156,Lumberjack,Hero,27108,true,3+0
157,Hero,Conqueror,145668,false,3+0
158,Hero,Conqueror,27108,true,3+0
159,Conqueror,Hero,145668,true,3+0
160,Conqueror,Hero,27108,false,3+0
161,Lumberjack,Conqueror,145668,false,3+0
162,Lumberjack,Conqueror,27108,false,3+0
163,Conqueror,Lumberjack,145668,false,3+0
164,Conqueror,Lumberjack,27108,true,3+0
165,Hero,Lumberjack,62629,false,3+0
166,Hero,Lumberjack,80725,false,3+0
167,Lumberjack,Hero,62629,true,3+0
168,Lumberjack,Hero,80725,true,3+0
169,Hero,Conqueror,62629,false,3+0
170,Hero,Conqueror,80725,false,3+0
171,Conqueror,Hero,62629,true,3+0
172,Conqueror,Hero,80725,false,3+0
173,Lumberjack,Conqueror,62629,false,3+0
174,Lumberjack,Conqueror,80725,false,3+0
175,Conqueror,Lumberjack,62629,false,3+0
176,Conqueror,Lumberjack,80725,false,3+0
177,Hero,Lumberjack,58297,true,3+0
178,Hero,Lumberjack,107593,false,3+0
179,Lumberjack,Hero,58297,true,3+0
180,Lumberjack,Hero,107593,true,3+0
181,Hero,Conqueror,58297,false,3+0
182,Hero,Conqueror,107593,false,3+0
183,Conqueror,Hero,58297,true,3+0
184,Conqueror,Hero,107593,false,3+0
185,Lumberjack,Conqueror,58297,true,3+0
186,Lumberjack,Conqueror,107593,false,3+0
187,Conqueror,Lumberjack,58297,false,3+0
188,Conqueror,Lumberjack,107593,false,3+0
189,Hero,Lumberjack,121604,true,3+0
190,Hero,Lumberjack,221444,true,3+0
191,Lumberjack,Hero,121604,true,3+0
192,Lumberjack,Hero,221444,false,3+0
193,Hero,Conqueror,121604,false,3+0
194,Hero,Conqueror,221444,true,3+0
195,Conqueror,Hero,121604,true,3+0
196,Conqueror,Hero,221444,true,3+0
197,Lumberjack,Conqueror,121604,true,3+0
198,Lumberjack,Conqueror,221444,false,3+0
199,Conqueror,Lumberjack,121604,true,3+0
200,Conqueror,Lumberjack,221444,true,3+0
201,Hero,Lumberjack,226188,false,3+0
202,Hero,Lumberjack,352236,false,3+0
203,Lumberjack,Hero,226188,true,3+0
204,Lumberjack,Hero,352236,true,3+0
205,Hero,Conqueror,226188,false,3+0
206,Hero,Conqueror,352236,false,3+0
207,Conqueror,Hero,226188,true,3+0
208,Conqueror,Hero,352236,true,3+0
209,Hero,Sniper,226188,false,3+0
210,Hero,Sniper,352236,true,3+0
211,Sniper,Hero,226188,false,3+0
212,Sniper,Hero,352236,false,3+0
213,Lumberjack,Conqueror,226188,false,3+0
214,Lumberjack,Conqueror,352236,false,3+0
215,Conqueror,Lumberjack,226188,false,3+0
216,Conqueror,Lumberjack,352236,true,3+0
217,Lumberjack,Sniper,226188,true,3+0
218,Lumberjack,Sniper,352236,true,3+0
219,Sniper,Lumberjack,226188,false,3+0
220,Sniper,Lumberjack,352236,false,3+0
221,Conqueror,Sniper,226188,true,3+0
222,Conqueror,Sniper,352236,true,3+0
223,Sniper,Conqueror,226188,false,3+0
224,Sniper,Conqueror,352236,false,3+0
225,Hero,Lumberjack,10907,false,3+0
226,Hero,Lumberjack,176267,false,3+0
227,Lumberjack,Hero,10907,false,3+0
228,Lumberjack,Hero,176267,true,3+0
229,Hero,Conqueror,10907,false,3+0
230,Hero,Conqueror,176267,true,3+0
231,Conqueror,Hero,10907,true,3+0
232,Conqueror,Hero,176267,true,3+0
233,Hero,Sniper,10907,true,3+0
234,Hero,Sniper,176267,true,3+0
235,Sniper,Hero,10907,true,3+0
236,Sniper,Hero,176267,true,3+0
237,Lumberjack,Conqueror,10907,true,3+0
238,Lumberjack,Conqueror,176267,true,3+0
239,Conqueror,Lumberjack,10907,false,3+0
240,Conqueror,Lumberjack,176267,false,3+0
241,Lumberjack,Sniper,10907,true,3+0
242,Lumberjack,Sniper,176267,false,3+0
243,Sniper,Lumberjack,10907,false,3+0
244,Sniper,Lumberjack,176267,true,3+0
245,Conqueror,Sniper,10907,true,3+0
246,Conqueror,Sniper,176267,false,3+0
247,Sniper,Conqueror,10907,false,3+0
248,Sniper,Conqueror,176267,false,3+0
249,Hero,Lumberjack,297420,false,3+0
250,Hero,Lumberjack,341100,false,3+0
251,Lumberjack,Hero,297420,false,3+0
252,Lumberjack,Hero,341100,true,3+0
253,Hero,Conqueror,297420,true,3+0
254,Hero,Conqueror,341100,true,3+0
255,Conqueror,Hero,297420,false,3+0
256,Conqueror,Hero,341100,false,3+0
257,Hero,Sniper,297420,true,3+0
258,Hero,Sniper,341100,true,3+0
259,Sniper,Hero,297420,true,3+0
260,Sniper,Hero,341100,true,3+0
261,Lumberjack,Conqueror,297420,false,3+0
262,Lumberjack,Conqueror,341100,false,3+0
263,Conqueror,Lumberjack,297420,false,3+0
264,Conqueror,Lumberjack,341100,true,3+0
265,Lumberjack,Sniper,297420,true,3+0
266,Lumberjack,Sniper,341100,true,3+0
267,Sniper,Lumberjack,297420,false,3+0
268,Sniper,Lumberjack,341100,false,3+0
269,Conqueror,Sniper,297420,false,3+0
270,Conqueror,Sniper,341100,true,3+0
271,Sniper,Conqueror,297420,false,3+0
272,Sniper,Conqueror,341100,false,3+0
273,Hero,Lumberjack,79298,false,3+0
274,Hero,Lumberjack,138945,true,3+0
275,Hero,Lumberjack,122097,true,3+0
276,Lumberjack,Hero,138945,true,3+0
277,Lumberjack,Hero,122097,false,3+0
278,Hero,Conqueror,138945,false,3+0
279,Hero,Conqueror,122097,true,3+0
280,Conqueror,Hero,138945,true,3+0
281,Conqueror,Hero,122097,true,3+0
282,Hero,Sniper,138945,true,3+0
283,Hero,Sniper,122097,false,3+0
284,Sniper,Hero,138945,true,3+0
285,Sniper,Hero,122097,true,3+0
286,Lumberjack,Conqueror,138945,true,3+0
287,Lumberjack,Conqueror,122097,false,3+0
288,Conqueror,Lumberjack,138945,false,3+0
289,Conqueror,Lumberjack,122097,false,3+0
290,Lumberjack,Sniper,138945,true,3+0
291,Lumberjack,Sniper,122097,true,3+0
292,Sniper,Lumberjack,138945,false,3+0
293,Sniper,Lumberjack,122097,false,3+0
294,Conqueror,Sniper,138945,true,3+0
295,Conqueror,Sniper,122097,false,3+0
296,Hero,Lumberjack,350723,false,3+0
297,Hero,Lumberjack,61811,false,3+0
298,Lumberjack,Hero,350723,true,3+0
299,Lumberjack,Hero,61811,true,3+0
300,Hero,Conqueror,350723,false,3+0
301,Hero,Conqueror,61811,true,3+0
302,Conqueror,Hero,350723,true,3+0
303,Conqueror,Hero,61811,true,3+0
304,Hero,Sniper,350723,true,3+0
305,Hero,Sniper,61811,true,3+0
306,Sniper,Hero,350723,false,3+0
307,Sniper,Hero,61811,false,3+0
308,Lumberjack,Conqueror,350723,true,3+0
309,Lumberjack,Conqueror,61811,false,3+0
310,Conqueror,Lumberjack,350723,true,3+0
311,Conqueror,Lumberjack,61811,false,3+0
312,Lumberjack,Sniper,350723,true,3+0
313,Lumberjack,Sniper,61811,true,3+0
314,Sniper,Lumberjack,350723,false,3+0
315,Sniper,Lumberjack,61811,false,3+0
316,Conqueror,Sniper,350723,true,3+0
317,Conqueror,Sniper,61811,true,3+0
318,Sniper,Conqueror,350723,false,3+0
319,Sniper,Conqueror,61811,true,3+0
320,Hero,Lumberjack,328565,false,3+0
321,Hero,Lumberjack,275525,true,3+0
322,Lumberjack,Hero,328565,true,3+0
323,Lumberjack,Hero,275525,true,3+0
324,Hero,Lumberjack,339964,false,1+0
325,Hero,Lumberjack,368668,true,1+0
326,Lumberjack,Hero,339964,true,1+0
327,Lumberjack,Hero,368668,true,1+0
328,Hero,Conqueror,339964,false,1+0
329,Hero,Conqueror,368668,false,1+0
330,Conqueror,Hero,339964,false,1+0
331,Conqueror,Hero,368668,true,1+0
332,Hero,Sniper,339964,false,1+0
333,Hero,Sniper,368668,false,1+0
334,Sniper,Hero,339964,true,1+0
335,Sniper,Hero,368668,true,1+0
336,Lumberjack,Conqueror,339964,true,1+0
337,Lumberjack,Conqueror,368668,false,1+0
338,Conqueror,Lumberjack,339964,true,1+0
339,Conqueror,Lumberjack,368668,true,1+0
340,Lumberjack,Sniper,339964,true,1+0
341,Lumberjack,Sniper,368668,true,1+0
342,Sniper,Lumberjack,339964,true,1+0
343,Sniper,Lumberjack,368668,false,1+0
344,Conqueror,Sniper,339964,false,1+0
345,Conqueror,Sniper,368668,false,1+0
346,Sniper,Conqueror,339964,false,1+0
347,Sniper,Conqueror,368668,true,1+0
348,Hero,Lumberjack,62251,true,1+0
349,Hero,Lumberjack,235099,false,1+0
350,Lumberjack,Hero,62251,true,1+0
351,Lumberjack,Hero,235099,true,1+0
352,Hero,Conqueror,62251,false,1+0
353,Hero,Conqueror,235099,false,1+0
354,Conqueror,Hero,62251,true,1+0
355,Conqueror,Hero,235099,true,1+0
356,Hero,Sniper,62251,false,1+0
357,Hero,Sniper,235099,true,1+0
358,Sniper,Hero,62251,true,1+0
359,Sniper,Hero,235099,true,1+0
360,Lumberjack,Conqueror,62251,false,1+0
361,Lumberjack,Conqueror,235099,false,1+0
362,Conqueror,Lumberjack,62251,false,1+0
363,Conqueror,Lumberjack,235099,false,1+0
364,Lumberjack,Sniper,62251,false,1+0
365,Lumberjack,Sniper,235099,true,1+0
366,Sniper,Lumberjack,62251,false,1+0
367,Sniper,Lumberjack,235099,false,1+0
368,Conqueror,Sniper,62251,true,1+0
369,Conqueror,Sniper,235099,true,1+0
370,Sniper,Conqueror,62251,false,1+0
371,Sniper,Conqueror,235099,false,1+0
372,Hero,Lumberjack,211778,false,1+0
373,Hero,Lumberjack,330338,false,1+0
374,Hero,Lumberjack,196398,false,3+0
375,Hero,Lumberjack,92814,false,3+0
376,Lumberjack,Hero,196398,false,3+0
377,Lumberjack,Hero,92814,true,3+0
378,Hero,Conqueror,196398,false,3+0
379,Hero,Conqueror,92814,false,3+0
380,Conqueror,Hero,196398,true,3+0
381,Conqueror,Hero,92814,true,3+0
382,Hero,Sniper,196398,true,3+0
383,Hero,Sniper,92814,true,3+0
384,Sniper,Hero,196398,false,3+0
385,Sniper,Hero,92814,true,3+0
386,Lumberjack,Conqueror,196398,false,3+0
387,Lumberjack,Conqueror,92814,false,3+0
388,Conqueror,Lumberjack,196398,true,3+0
389,Conqueror,Lumberjack,92814,false,3+0
390,Lumberjack,Sniper,196398,true,3+0
391,Lumberjack,Sniper,92814,true,3+0
392,Sniper,Lumberjack,196398,false,3+0
393,Sniper,Hero,320440,false,3+0
394,Sniper,Hero,275512,false,3+0
395,Hero,Sniper,320440,true,3+0
396,Hero,Sniper,275512,true,3+0
397,Sniper,Lumberjack,320440,false,3+0
398,Sniper,Lumberjack,275512,false,3+0
399,Lumberjack,Sniper,320440,true,3+0
400,Lumberjack,Sniper,275512,true,3+0
401,Sniper,Conqueror,320440,true,3+0
410,Sniper,Hero,99359,false,3+0
411,Sniper,Hero,380783,true,3+0
412,Hero,Sniper,99359,true,3+0
413,Hero,Sniper,380783,true,3+0
414,Sniper,Lumberjack,99359,false,3+0
415,Sniper,Lumberjack,380783,false,3+0
416,Lumberjack,Sniper,99359,true,3+0
417,Lumberjack,Sniper,380783,true,3+0
418,Sniper,Conqueror,99359,false,3+0
419,Sniper,Conqueror,380783,false,3+0
420,Conqueror,Sniper,99359,true,3+0
421,Conqueror,Sniper,380783,false,3+0
422,Sniper,Hero,212448,false,3+0
423,Sniper,Hero,358464,true,3+0
424,Hero,Sniper,212448,false,3+0
425,Hero,Sniper,358464,true,3+0
426,Sniper,Lumberjack,212448,true,3+0
427,Sniper,Lumberjack,358464,false,3+0
428,Lumberjack,Sniper,212448,true,3+0
429,Lumberjack,Sniper,358464,true,3+0
430,Sniper,Conqueror,212448,false,3+0
431,Sniper,Conqueror,358464,false,3+0
432,Sniper,Hero,274659,false,3+0
433,Sniper,Hero,177939,true,3+0
434,Hero,Sniper,274659,true,3+0
435,Hero,Sniper,177939,true,3+0
436,Sniper,Lumberjack,274659,false,3+0
437,Sniper,Lumberjack,177939,false,3+0
438,Lumberjack,Sniper,274659,true,3+0
439,Lumberjack,Sniper,177939,true,3+0
440,Sniper,Conqueror,274659,false,3+0
441,Sniper,Conqueror,177939,false,3+0
442,Conqueror,Sniper,274659,true,3+0
443,Conqueror,Sniper,177939,false,3+0
444,Sniper,Hero,220247,false,3+0
445,Sniper,Hero,154727,true,3+0
446,Hero,Sniper,220247,false,3+0
447,Hero,Sniper,154727,false,3+0
448,Sniper,Lumberjack,220247,false,3+0
449,Sniper,Lumberjack,154727,false,3+0
450,Lumberjack,Sniper,220247,true,3+0
